[10/05/21 13:57:09] Server Open OK # Port:20000
[10/05/21 13:57:32] Connect Session # IP:127.0.0.1 / SessionID:1 
[10/05/21 13:58:54] Connect Session # IP:127.0.0.1 / SessionID:2 
[10/05/21 13:59:48] Frame : 26  Loop : 13624
[10/05/21 13:59:50] Connect Session # IP:127.0.0.1 / SessionID:3 
[10/05/21 14:00:32] Connect Session # IP:127.0.0.1 / SessionID:4 
[10/05/21 14:01:25] Frame : 26  Loop : 20687
[10/05/21 14:05:15] Frame : 26  Loop : 3525
[10/05/21 14:06:34] Connect Session # IP:127.0.0.1 / SessionID:5 
[10/05/21 14:07:32] Connect Session # IP:127.0.0.1 / SessionID:6 
[10/05/21 14:07:50] Connect Session # IP:127.0.0.1 / SessionID:7 
[10/05/21 14:08:49] Connect Session # IP:127.0.0.1 / SessionID:8 
[10/05/21 14:09:27] Connect Session # IP:127.0.0.1 / SessionID:9 
[10/05/21 14:12:55] Connect Session # IP:127.0.0.1 / SessionID:10 
[10/05/21 14:13:27] Connect Session # IP:127.0.0.1 / SessionID:11 
[10/05/21 14:13:52] Frame : 26  Loop : 20026
[10/05/21 14:14:17] Frame : 24  Loop : 3001
[10/05/21 14:14:18] Frame : 27  Loop : 16959
[10/05/21 14:14:20] Frame : 26  Loop : 19514
[10/05/21 14:16:45] Frame : 26  Loop : 16984
[10/05/21 14:16:57] Frame : 26  Loop : 11747
[10/05/21 14:19:00] Connect Session # IP:127.0.0.1 / SessionID:12 
[10/05/21 14:19:28] Frame : 26  Loop : 10858
[10/05/21 14:19:36] Frame : 19  Loop : 1182
[10/05/21 14:19:37] Frame : 6  Loop : 6
[10/05/21 14:19:38] Frame : 11  Loop : 11
[10/05/21 14:19:39] Frame : 73  Loop : 1772
[10/05/21 14:19:40] Frame : 26  Loop : 2766
[10/05/21 14:19:42] Frame : 28  Loop : 34
[10/05/21 14:19:44] Frame : 27  Loop : 14386
[10/05/21 14:19:57] Frame : 26  Loop : 16609
[10/05/21 14:20:02] Frame : 26  Loop : 17450
[10/05/21 14:20:08] Frame : 26  Loop : 16015
[10/05/21 14:20:10] Connect Session # IP:127.0.0.1 / SessionID:13 
[10/05/21 14:21:15] Connect Session # IP:127.0.0.1 / SessionID:14 
[10/05/21 14:21:15] Frame : 26  Loop : 13780
[10/05/21 14:21:17] Frame : 26  Loop : 14549
[10/05/21 14:25:29] Frame : 26  Loop : 17659
[10/05/21 14:25:45] Frame : 26  Loop : 16823
[10/05/21 14:36:06] Frame : 24  Loop : 13937
[10/05/21 14:36:07] Frame : 27  Loop : 13876
[10/05/21 14:36:12] Connect Session # IP:127.0.0.1 / SessionID:15 
[10/05/21 14:37:19] Connect Session # IP:127.0.0.1 / SessionID:16 
[10/05/21 14:37:28] Connect Session # IP:127.0.0.1 / SessionID:17 
[10/05/21 14:39:28] Frame : 26  Loop : 18468
[10/05/21 14:44:56] Frame : 26  Loop : 20750
[10/05/21 14:45:29] Connect Session # IP:127.0.0.1 / SessionID:18 
[10/05/21 14:45:43] Connect Session # IP:127.0.0.1 / SessionID:19 
[10/05/21 14:46:11] Frame : 24  Loop : 13051
[10/05/21 14:46:12] Frame : 27  Loop : 9536
[10/05/21 14:46:14] Connect Session # IP:127.0.0.1 / SessionID:20 
[10/05/21 14:47:32] Frame : 26  Loop : 19468
[10/05/21 14:48:10] Frame : 26  Loop : 14842
[10/05/21 14:48:16] Connect Session # IP:127.0.0.1 / SessionID:21 
[10/05/21 14:48:49] Connect Session # IP:127.0.0.1 / SessionID:22 
[10/05/21 14:49:03] Connect Session # IP:127.0.0.1 / SessionID:23 
